文件标题,发布时间,行政区,行政区代码,城市,供应计划年度,供应总量_总量,供应总量_增量,供应总量_存量,商服用地,工矿仓储用地,住宅用地_总量,住宅用地_保障性住房用地,住宅用地_中小套型商品房用地,住宅用地_普通商品房用地,住宅用地_棚户区改造住房用地,交通运输用地,公共管理与公共服务用地,水域及水利设施用地,教育用地,工业用地,公益事业用地,特殊用地,其他用地,md5,url,crawling_time
北京市本级2015年度国有建设用地供应计划,2015年3月31日 19:52,北京市 > 北京市市辖区 > 北京市本级,北京市本级,北京市市辖区,2015,4600公顷,2100公顷以内,2500公顷,400公顷,350公顷,1200公顷,,,,,1750公顷,800公顷,50公顷,,,,50公顷,,d0e02e5b8751480b518aabb2310a7f7d,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=06cb8ae8-3a85-403c-83a2-641bce19f7cc&sitePath=,2020/7/6
北京市本级2014年度国有建设用地供应计划,2014年3月28日 16:58,北京市 > 北京市市辖区 > 北京市本级,北京市本级,北京市市辖区,2014,5150公顷,2500公顷以内,2650公顷,550公顷,450公顷,1650公顷,,,,,1200公顷,1200公顷,50公顷,,,,50公顷,,8c53d3dd69bd18efedf0f6cbd8e96538,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=269a219b-1636-4a80-b18a-745da9776059&sitePath=,2020/7/6
北京市本级2013年度国有建设用地供应计划,2013年3月31日 13:10,北京市 > 北京市市辖区 > 北京市本级,北京市本级,北京市市辖区,2013,,,,,,,,,,,,,,,,,,,1ee1ce2233538ad6b9b27c49b43a9b7a,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=69dd1ff2-5d11-4b75-baf9-e19cf7257f02&sitePath=,2020/7/6
北京市2011年度国有建设用地供应计划,2011年4月2日 18:13,北京市 > 北京市市辖区 > 北京市本级,北京市本级,北京市市辖区,2011,6500公顷,3200公顷以内,3300公顷,550公顷,1000公顷,2550公顷,,,,,1000公顷,1200公顷,100公顷,,,,100公顷,,e7ecc3d17ccc0368d1ed423e905fd416,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=e4b5bafa-04ac-49a6-8d9c-405e56f00daa&sitePath=,2020/7/6
北京市2007-2010年土地供应中期计划,2009年3月30日 0:00,北京市 > 北京市市辖区 > 北京市本级,北京市本级,北京市市辖区,2010,24200公顷以内,14000公顷以内,10200公顷,,4400公顷,6400公顷,,,,,,,,,,,,,29c21819b3cbecf63fb7df84051e3c14,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=64824f84-999a-4385-b8c6-ee0f6ee3910f&sitePath=,2020/7/6
北京市2009年度土地供应计划,2009年3月30日 0:00,北京市 > 北京市市辖区 > 北京市本级,北京市本级,北京市市辖区,2009,5700公顷,3300公顷以内,2400公顷,200公顷,,1300公顷,,,,,,,,,,,,,24e3b5a80beb596b2e08c2b9595a109f,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=e7a8ea90-ebec-4328-bc06-9a21fac87efc&sitePath=,2020/7/6
二○一一年津南区第一批工业项目（含部分公共设施用地）供应计划公示,2011年1月18日 16:10,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2011,,,,,,,,,,,,,,,,,,,2c5090d1fbb94eabcc4d37a9d058fd81,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=a84ffa80-2f00-4173-a61d-72363f7ae6ff&sitePath=,2020/7/6
2011年津南区第一批经营性房地产开发用地供应计划公告,2010年12月22日 9:27,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2011,,,,,,,,,,,,,,,,,,,5056e250feaec2f47415f654f2a5b450,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=67d9490d-c26b-4653-b4b3-09dd750949a9&sitePath=,2020/7/6
二一年津南区第四批出让计划公告,2010年9月25日 14:01,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2010,,,,,,,,,,,,,,,,,,,17295129cfa78893d34073b134807091,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=2b6d817a-8a26-467d-8558-6ae2d0c7c597&sitePath=,2020/7/6
二一年津南区第三批出让计划公告,2010年6月19日 8:51,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2010,,,,,,,,,,,,,,,,,,,ed97d43bffa9aeb2086949243d056360,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=1f9a0d81-07c7-4bcc-b82b-321ebdd8a243&sitePath=,2020/7/6
天津市中心城区2010年拟出让地块简介,2010年2月4日 17:17,天津市 > 天津市市辖区 > 和平区,和平区,天津市市辖区,2010,,,,74公顷,,,,,,,,,,,,,,,f45638d031391a99a1c73fe2f71ac591,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=5ade4e40-b2a8-4e8c-9bed-7498f54b716e&sitePath=,2020/7/6
二一年津南区第二批出让计划公告,2010年1月26日 8:44,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2010,,,,,,,,,,,,,,,,,,,b6f9b58c817a1d653b5c013f193321ce,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=7c10f74f-47db-4ae6-ac8e-0018e20a08e8&sitePath=,2020/7/6
二九年津南区第五批出让计划公告,2009年12月2日 13:17,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2009,,,,,,,,,,,,,,,,,,,994f9d4c02ce74714e9386317982134f,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=f877b3b6-e03c-4fac-9f9d-7e9f6e0525c4C&sitePath=,2020/7/6
二九年津南区第四批出让计划公告,2009年9月25日 14:40,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2009,,,,,,,,,,,,,,,,,,,c93341fb878166819f44b258756b2bb3,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=b33b72c0-c8c7-454d-af76-8705c21e1be1&sitePath=,2020/7/6
二九年津南区第一批出让计划公告,2009年4月17日 0:00,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2009,,,,,,,,,,,,,,,,,,,3b3b33a5529d6754f7a324ff606af8be,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=7a4112b2-0f6b-465b-939a-0be98f030758&sitePath=,2020/7/6
二八年津南区第五批出让计划公告,2008年12月12日 9:04,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2008,,,,,,,,,,,,,,,,,,,1d35bc2cd4ebdcdbe917a0589739fe08,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=3069181&sitePath=,2020/7/6
二八年津南区第四批出让计划公告,2008年9月18日 8:56,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2008,,,,,,,,,,,,,,,,,,,6b6471da5366e55148639ca95c325304,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=3060160&sitePath=,2020/7/6
二八年津南区第三批出让计划公告,2008年7月10日 17:01,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2008,,,,,,,,,,,,,,,,,,,8a89d3c4692ed6fc8c74f7a9daf57b82,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=3054355&sitePath=,2020/7/6
二八年津南区第二批出让计划公告,2008年5月15日 9:51,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2008,,,,,,,,,,,,,,,,,,,399a39d4da7f2c45ea8d641e3904cb66,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=3048838&sitePath=,2020/7/6
二八年津南区第一批工业用地招标拍卖挂牌出让计划公告,2008年3月3日 11:15,天津市 > 天津市市辖区 > 津南区,津南区,天津市市辖区,2008,,,,,,,,,,,,,,,,,,,f66f67140c8c28eb3c50a44781102f34,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=3042846&sitePath=,2020/7/6
承德县2019年度国有建设用地供应计划,2020年6月15日 8:54,河北省 > 承德市 > 承德县,承德县,承德市,2019,229.5公顷,,,,69公顷,53公顷,,,,5公顷,37.8公顷,9.7公顷,,,,,,,ce5566243435c9ef6c6ad8fe0ad7baf4,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=6ccc7c78-52e1-401b-a17d-c029390333dd&sitePath=,2020/7/6
滦平县2020年度国有建设用地供应计划,2020年5月29日 10:36,河北省 > 承德市 > 滦平县,滦平县,承德市,2020,132.8242公顷,,,16.8112公顷,49.2417公顷,45.3028公顷,,,,4.72公顷,,21.4685公顷,,,,,,,e879f6a97873b95967a667532e8f3e8f,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=c9dbee5f-0b5f-462a-b548-ec8f7a742106&sitePath=,2020/7/6
承德县2020年度国有建设用地供应计划,2020年5月29日 9:22,河北省 > 承德市 > 承德县,承德县,承德市,2020,226.08公顷,,,,,80.42公顷,,,,2公顷,32.47公顷,25.34公顷,,,57.4公顷,,,,7788cee0aeb95f79d31e59a077a3978b,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=78bf00dc-f66d-410c-9e82-6b47534e8102&sitePath=,2020/7/6
新乐市2020年度国有建设用地供应计划,2020年4月26日 15:53,河北省 > 石家庄市 > 新乐市,新乐市,石家庄市,2020,103公顷以内,85公顷,,,60公顷,42公顷,,,,,,,,,,,,,184384164dfcb61d16592d85fca14a3f,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=6f1796b2-a89c-496f-943a-10ec0f0d065f&sitePath=,2020/7/6
蔚县2020年度国有建设用地供应计划,2020年4月26日 15:38,河北省 > 张家口市 > 蔚县,蔚县,张家口市,2020,488公顷,395公顷,,20公顷,55公顷,110公顷,,,,,,23公顷,,,,,,,fd7cec54ab963fe1d23d4e97c0a4c95d,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=300ba776-a8a2-458d-9647-7563fde537eb&sitePath=,2020/7/6
围场满族蒙古族自治县2020年度国有建设用地供应计划,2020年4月23日 10:36,河北省 > 承德市 > 围场满族蒙古族自治县,围场满族蒙古族自治县,承德市,2020,123公顷以内,,,31.4918公顷,38.1815公顷,47.1368公顷,,,,,3.8341公顷,8.2815公顷,,,,,,,1d30cf5099acb285f630daea7f948526,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=21f8bdc0-d283-48ae-a0ca-a2f3436d2e85&sitePath=,2020/7/6
卢龙县2020年度国有建设用地供应计划,2020年4月22日 15:06,河北省 > 秦皇岛市 > 卢龙县,卢龙县,秦皇岛市,2020,193.3005公顷,164.4705公顷,28.8300公顷,171.9648公顷,110.7335公顷,24.7889公顷,8.2908公顷,,16.4981公顷,,5.5640公顷,21.3357公顷,,,,,,,69ef80a814e9c4e75178fc2140a1570e,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=eaf62f53-0f2c-4274-ba4d-d66fc72c82e7&sitePath=,2020/7/6
望都县2020年度国有建设用地供应计划,2020年4月21日 14:00,河北省 > 保定市 > 望都县,望都县,保定市,2020,53.1522公顷,45.2424公顷,7.9098公顷,0.8408公顷,17.1700公顷,29.1822公顷,,,,,,,,,,,,,9c59a60624525083482a906dd6e9c11d,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=d2e7bdc2-e90c-4d3a-b164-2c3ff6181188&sitePath=,2020/7/6
承德市本级2020年度国有建设用地供应计划,2020年4月15日 11:39,河北省 > 承德市 > 承德市本级,承德市本级,承德市,2020,,,,,,,,,,,,,,,,,,,a8bb3e7fed38860d7594e26acae5bde7,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=981dc4ed-e783-426e-8dc7-b5b480557e30&sitePath=,2020/7/6
固安县2020年度国有建设用地供应计划,2020年4月15日 10:40,河北省 > 廊坊市 > 固安县,固安县,廊坊市,2020,793.8188公顷以内,,,,84.9976公顷,126.5303公顷,,,,,495.3354公顷,34.7605公顷,3.1398公顷,,,,3.0144公顷,,e50e33b175e010b86db68d0b1d34e78b,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=015e9fb9-2305-4146-b0bd-6f3af73d1948&sitePath=,2020/7/6
霸州市2020年度国有建设用地供应计划,2020年4月14日 8:53,河北省 > 廊坊市 > 霸州市,霸州市,廊坊市,2020,213.1475公顷以内,,,21.0406公顷,60.6064公顷,126.2111公顷,,,,,,5.2894公顷,,,,,,,435105ecdc88a33a4c7d4346108f30b6,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=92d08527-e308-4b4f-926d-b0ed69857364&sitePath=,2020/7/6
邯郸市本级2020年度国有建设用地供应计划,2020年4月10日 19:13,河北省 > 邯郸市 > 邯郸市本级,邯郸市本级,邯郸市,2020,1576.7596公顷以内,1384.6749公顷,192.0846公顷,112.9545公顷,423.8403公顷,465.0392公顷,,,,,209.7894公顷,365.1362公顷,,,,,,,d0aac22fc3ef71326cd5f55b4c0b5949,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=4cc5beeb-c858-4e00-9c59-0e9975e4f221&sitePath=,2020/7/6
张家口市区2020年度国有建设用地供应计划,2020年4月10日 9:41,河北省 > 张家口市 > 张家口市本级,张家口市本级,张家口市,2020,1210.57公顷,866.49公顷,344.08公顷,293.15公顷,221.04公顷,411.04公顷,,,,,187.97公顷,97.37公顷,,,,,,,0c4d109ce1e57b07337de5fa60a80ba6,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=aaf4b3ea-c2d3-4cdc-a179-9eeef79ef880&sitePath=,2020/7/6
故城县2020年度国有建设用地供应计划,2020年4月10日 9:15,河北省 > 衡水市 > 故城县,故城县,衡水市,2020,156.48公顷,141公顷,15.48公顷,24.84公顷,,,,,,,,,,,,,,,900cf9d9f557863e5c1b9ecbd1ffc647,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=7f5f0a8e-e807-4b80-9d31-71e5956b0320&sitePath=,2020/7/6
秦皇岛市本级2020年度国有建设用地供应计划,2020年4月9日 13:55,河北省 > 秦皇岛市 > 秦皇岛市本级,秦皇岛市本级,秦皇岛市,2020,15673亩,13282亩,2391亩,4977亩,,3114亩,,,,,2462亩,1680亩,,,,,118亩,,c882efcb39fae66562607de0c0ef6744,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=c3e640b1-1cf4-4008-8717-21cae877302e&sitePath=,2020/7/6
滦南县2020年度国有建设用地供应计划,2020年4月9日 10:48,河北省 > 唐山市 > 滦南县,滦南县,唐山市,2020,37.4421公顷,,,0.0537公顷,26.2987公顷,3.6313公顷,,,,,7.4584公顷,,,,,,,,4f215365aec8df172b1293fbb08dad51,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=b5507a12-e9dd-4758-a001-4c54fd432e74&sitePath=,2020/7/6
安平县2020年度建设用地供应计划,2020年4月9日 9:55,河北省 > 衡水市 > 安平县,安平县,衡水市,2020,146.4168公顷以内,,,8.0856公顷,48.2080公顷,10.1383公顷,1.6221公顷,,,2.4332公顷,64.0376公顷,15.9473公顷,,,,,,,547d9e5b1a58474b8004f76d24ad89d3,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=5af055f8-ae0a-42a3-bbcf-94f846bca4c9&sitePath=,2020/7/6
衡水市本级2020年度国有建设用地供应计划,2020年4月9日 9:03,河北省 > 衡水市 > 衡水市本级,衡水市本级,衡水市,2020,2475.4436公顷以内,,,138.4598公顷,1093.5511公顷,478.8597公顷,118.5383公顷,,,,174.9256公顷,393.5034公顷,,,,,5公顷,,d98edfa38188e186d72c5cb4552a030d,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=29aab38c-5a7b-4b32-b25f-cc32948b65af&sitePath=,2020/7/6
赤城县2020年度国有建设用地供应计划,2020年4月9日 8:44,河北省 > 张家口市 > 赤城县,赤城县,张家口市,2020,41.2779公顷,30.4113公顷,,2.5466公顷,2.5167公顷,28.3405公顷,,,,,,,,,,,,,b0cc0eff5b723d0974114eed80341adb,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=42d64181-57f0-413e-bfaf-d54813f04e27&sitePath=,2020/7/6
尚义县2020年度国有建设用地供应计划,2020年4月9日 8:09,河北省 > 张家口市 > 尚义县,尚义县,张家口市,2020,111公顷以内,,,6公顷,,45公顷,,,,,20公顷,,,,30公顷,,,,f58b96776bfa0ede97f9e6d621a8f921,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=6728ca63-a06b-4465-af9a-a9b7e0d09c64&sitePath=,2020/7/6
景县2020年度国有建设用地供应计划,2020年4月8日 18:24,河北省 > 衡水市 > 景县,景县,衡水市,2020,150.1464公顷,,,,112.1867公顷,21.7526公顷,,,5.085公顷,,,16.2071公顷,,,,,,,ac8ad3802201696587b180cb1c98acd9,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=4653db64-237f-4fd7-94a3-f8571299a158&sitePath=,2020/7/6
沧县2020年度国有建设用地供应计划,2020年4月8日 17:57,河北省 > 沧州市 > 沧县,沧县,沧州市,2020,315.7公顷,,,33.3公顷,200公顷,30公顷,,,,,52.4公顷,,,,,,,,ae66add2b3d753c30fc4a85e043ae3d1,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=29cdd74f-5213-485a-8ffe-a0f375bea604&sitePath=,2020/7/6
遵化市2020年度国有建设用地供应计划,2020年4月8日 17:34,河北省 > 唐山市 > 遵化市,遵化市,唐山市,2020,,,,,,,,,,,,,,,,,,,dd6c0e9e95987730292c4234ca9c55da,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=b4f83b6f-fa22-4026-982e-a6d2ea1cb6c4&sitePath=,2020/7/6
蠡县2020年度国有建设用地供应计划,2020年4月7日 10:21,河北省 > 保定市 > 蠡县,蠡县,保定市,2020,79.7674公顷,,,3.0787公顷,29.3805公顷,46.6416公顷,,,,,,0.6667公顷,,,,,,,b53bb1ad7bd8ed243bdf43ecd8ddb3f5,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=537be462-c9d3-4675-921f-21c6165e74bf&sitePath=,2020/7/6
廊坊市本级2020年度国有建设用地供应计划,2020年4月3日 17:20,河北省 > 廊坊市 > 廊坊市本级,廊坊市本级,廊坊市,2020,,,155.2042公顷,17.4812公顷,42.6108公顷,160.9704公顷,,,,94.1129公顷,6.3386公顷,54.1155公顷,,,,,1.4032公顷,,d2fb5367bf26bfd1a723ca38ef95bc28,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=a723d4cc-de68-4169-83a7-c580ca0b95df&sitePath=,2020/7/6
文安县2020年度国有建设用地供应计划,2020年4月3日 10:06,河北省 > 廊坊市 > 文安县,文安县,廊坊市,2020,130.0916公顷,,,2.6740公顷,34.6626公顷,14.1309公顷,,,,,,78.6241公顷,,,,,,,6a88e305316a01277e1552bd07516843,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=f1edaa35-8ea3-49de-bf19-c09134d5bd26&sitePath=,2020/7/6
